Series Name,"Series Code","Country Name","Country Code","2000 [YR2000]","2001 [YR2001]","2002 [YR2002]","2003 [YR2003]","2004 [YR2004]","2005 [YR2005]","2006 [YR2006]","2007 [YR2007]","2008 [YR2008]","2009 [YR2009]","2010 [YR2010]","2011 [YR2011]","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]","2016 [YR2016]"
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","Netherlands","NLD","15.7851970929428","","","","","15.2607799578522","","","","","15.3186461097292","15.3291441764793","14.7234666615941","14.8846010849838","14.8470639358099","15.2109892905166","15.2300500930308"
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","New Caledonia","NCL","","","","","","","","","","","","","","","","",""
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","New Zealand","NZL","6.24560573317728","","","","","6.09307332242665","","","","","5.41970608916959","5.42030842374793","5.47414938602251","5.45939579676433","5.52542901684718","5.53385752400016","5.52544659504709"
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","Nicaragua","NIC","34.3399585741001","","","","","32.0779034418129","","","","","22.8814844584456","25.2100861205753","28.6499300026733","29.0998279556327","28.2384971679152","22.9988541212014","22.7088486773581"
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","Niger","NER","128.907725207197","","","","","112.460808217433","","","","","116.207913647193","118.307170272437","102.933741956851","83.692217991766","72.1032697042426","190.88412581293","203.74389172404"
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","Nigeria","NGA","74.5054507283442","","","","","59.9822709292164","","","","","51.5297654453882","53.3722471353436","50.0932169766024","46.3932515776191","41.6027301719433","115.123996107891","122.478442019449"
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","Northern Mariana Islands","MNP","11.0102106658572","","","","","11.6645454484083","","","","","10.5537211116176","9.97585591571358","10.2133002137926","10.6803289546942","11.023735139386","11.3815150854166","11.2866785979114"
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","Norway","NOR","9.57901624706219","","","","","8.81055292424576","","","","","8.94038091887876","8.65690114318432","8.56790942846398","8.68809345275403","8.8718542396845","7.91317356487065","7.87406759881411"
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","Oman","OMN","66.0312003426729","","","","","57.2001186670528","","","","","55.7170142545241","57.254346471007","60.1007590877397","57.5317158739607","55.3933505852903","76.4296427875636","77.9621781041318"
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","Pakistan","PAK","69.6141209711622","","","","","63.9100175654935","","","","","61.4293256520789","63.6250188529576","63.3060394072837","64.2914649346317","64.2536610814408","75.0811049117934","75.7507424307374"
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","Palau","PLW","","","","","","","","","","","","","","","","",""
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","Panama","PAN","16.2970145029524","","","","","14.063382738047","","","","","10.2142522019758","10.4406623117941","11.002067600172","12.3878621983117","12.2977754252031","13.976616250659","14.1259977592616"
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","Papua New Guinea","PNG","15.7755742143552","","","","","13.7123415741506","","","","","11.5118131059992","12.9484665119381","13.8128172213025","14.3539732939333","13.9466560157397","13.7235760945507","13.6778825554383"
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","Paraguay","PRY","23.2704253368549","","","","","23.6232191113512","","","","","17.7108692459638","18.4986774304177","16.5231850164864","16.3304463576031","15.5452078980556","23.1044564176375","23.6930541373862"
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","Peru","PER","35.4149643481755","","","","","41.0363341455002","","","","","27.808496926291","29.9751428577246","29.5600093390717","29.410194953079","28.4478460251566","26.054281870473","26.0545956013598"
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","Philippines","PHL","25.2765740849804","","","","","28.054669668809","","","","","23.5779281036984","23.6131348090553","23.2873639184075","23.9706935753414","23.5477608490774","23.2272548651592","23.2134941010849"
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","Poland","POL","26.3168948570301","","","","","25.1549506627962","","","","","27.4692094756069","26.9709844019573","24.3807224486656","24.7060531256064","24.8152632899657","25.5673151226378","25.5999126145796"
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","Portugal","PRT","9.72299077552483","","","","","10.0236621946909","","","","","9.61092265571811","9.4586527472403","9.49768085281688","9.49060999628464","9.69283511658975","9.50914504072602","9.49119811125022"
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","Puerto Rico","PRI","24.516438157708","","","","","18.8584044283544","","","","","17.4741161054097","14.8283384511903","19.4195431207488","20.0823567357602","16.4370677645111","20.1020239443847","20.0552886987372"
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","Qatar","QAT","106.356393343304","","","","","102.610542133456","","","","","122.056980845081","112.553864306735","120.948918392513","115.377724549565","107.237738516855","147.535340442711","148.241398279962"
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","Romania","ROU","21.1504050390208","","","","","17.3312177193093","","","","","20.2597555121403","20.0555224696576","19.1402003132956","19.096863055474","19.4194701724873","18.9985626353598","19.0644149794121"
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","Russian Federation","RUS","15.3186532254686","","","","","15.0201560572769","","","","","16.5983508642145","16.0508269810657","15.4651028722474","16.0036751860197","16.2609494956253","15.5309614175051","15.5005356008469"
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","Rwanda","RWA","53.7537708788571","","","","","48.7068838629373","","","","","44.4682774170499","49.074052815667","52.7757913109403","53.9182886654367","51.8631099256875","52.5098091852864","52.7901301247164"
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","Samoa","WSM","4.37152352341625","","","","","4.41593166278917","","","","","3.43208680457344","3.32698966479532","3.41215922726467","3.5355184783492","3.67493804923032","3.85170228021464","3.85707279754415"
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","San Marino","SMR","","","","","","","","","","","","","","","","",""
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","Sao Tome and Principe","STP","15.8676814004429","","","","","15.5284917204897","","","","","13.0597212897567","12.8343192379785","13.3100636181989","13.140911509996","13.8566293114297","15.384606884228","15.4276565930151"
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","Saudi Arabia","SAU","93.2481701712083","","","","","93.0313357339137","","","","","130.056712948058","130.931323807494","135.955542740841","125.960895654439","116.207553059444","182.921456340464","187.871360841979"
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","Senegal","SEN","41.0308115255465","","","","","29.2228208474288","","","","","32.0096310715306","33.2095396686682","33.5206886393999","36.1285810251619","35.9947468090562","55.5309479787916","56.7663360813882"
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","Serbia","SRB","19.1148210139404","","","","","16.5890901867799","","","","","19.5596881046499","19.3243355721026","18.8244256477387","19.4726069952758","20.1471939574974","18.9158635003063","18.846788908494"
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","Seychelles","SYC","19.3887811746288","","","","","20.2363197796154","","","","","15.4365445710772","16.1305557529437","16.047802216554","15.1180292239374","14.2588183837982","14.8515444503003","14.8388500960206"
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","Sierra Leone","SLE","25.5661145377842","","","","","21.9668676030107","","","","","25.2662386158606","27.134276408682","27.3818282375042","25.2599817479407","21.9788499180171","40.5385183615917","42.1306710541791"
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","Singapore","SGP","19.128649520333","","","","","26.9291407170179","","","","","18.1009284076467","18.1185034254513","18.1701878768536","18.9464080532948","18.0564741458911","24.8923769856288","25.0285023615687"
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","Sint Maarten (Dutch part)","SXM","","","","","","","","","","","","","","","","",""
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","Slovak Republic","SVK","21.6967497644777","","","","","20.1125468261445","","","","","20.3244765261792","19.5328461980013","18.9167820851012","19.0328644844062","19.7853404650104","20.3190681206529","20.3309074591948"
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","Slovenia","SVN","16.7650380227837","","","","","16.6702659499536","","","","","15.8831425435037","15.1389414962121","15.7722217658085","17.2201752747942","18.7374571874104","17.9259384434853","17.8235088276986"
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","Solomon Islands","SLB","7.10013542918748","","","","","8.19527967022423","","","","","5.82133125421395","5.66007642202285","5.80850738910142","6.14194251211627","6.08956061495686","8.24466912426504","8.51582839068673"
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","Somalia","SOM","22.330730258702","","","","","19.4487433312076","","","","","19.6148008939483","20.4310445929357","20.5550703273855","20.3565564560069","20.053764704802","23.6959340606358","23.8882875144736"
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","South Africa","ZAF","37.0564102562605","","","","","35.8615348844491","","","","","29.7516416485533","29.4398743859574","29.172851579464","29.1153141734362","29.4547972706548","35.5222859811222","35.9124774744138"
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","South Sudan","SSD","42.7020420856965","","","","","34.7236152335613","","","","","36.0819611635077","36.9141582059443","38.3723039170578","35.379406789219","33.9816764766723","48.0552560825106","48.703123805914"
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","Spain","ESP","10.0722722128066","","","","","9.93977263325782","","","","","9.68744966076384","9.73839746756244","9.76889756168329","9.74835979323607","9.74586114811876","9.9564940343813","9.96082401537934"
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","Sri Lanka","LKA","30.7672743223553","","","","","30.3709646624475","","","","","26.9723539599799","27.1952991198775","27.9156669524976","28.0975955873873","28.0878433278188","25.7665375048388","25.6352075692358"
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","St. Kitts and Nevis","KNA","","","","","","","","","","","","","","","","",""
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","St. Lucia","LCA","19.5188950720878","","","","","17.056951345507","","","","","14.1134628188456","14.3418582256312","14.6344261183026","14.7671411230799","14.4516757010027","17.207648161017","17.3478257964345"
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","St. Martin (French part)","MAF","","","","","","","","","","","","","","","","",""
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","St. Vincent and the Grenadines","VCT","19.1474894455845","","","","","16.7847000785052","","","","","13.8738509479466","13.5562302473761","14.0544680807149","14.3011714253131","14.1660981334113","16.7645361103085","17.3743195449532"
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","Sudan","SDN","57.2374677518208","","","","","55.527080294449","","","","","56.3272268868926","57.3552787397003","58.8315072473206","54.7444252690447","52.5198747587046","76.0529344002347","77.7210720463093"
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","Suriname","SUR","28.4657107025004","","","","","17.3464024575794","","","","","14.939287893587","17.093349134825","18.8845161119628","20.1320545914408","19.1162201103451","21.7135207341093","21.5324734886568"
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","Eswatini","SWZ","27.6002052464458","","","","","26.4982349779937","","","","","22.2114782621582","21.8007605504649","21.7151600389869","21.334288430712","21.6073150608873","24.283471651163","24.1518154498694"
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","Sweden","SWE","5.91950411150223","","","","","5.38226776422016","","","","","5.43605727940895","5.28700929642387","5.1613415228615","5.57937212314366","5.86217931406195","5.2224878177909","5.19528248299983"
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","Switzerland","CHE","11.2063691335642","","","","","10.9141922766418","","","","","11.0027823591919","11.0941273070399","11.1732788690681","12.036258304552","12.3333031156254","10.6040450506762","10.5120866693743"
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","Syrian Arab Republic","SYR","32.3582670087668","","","","","31.1534697810477","","","","","41.0045631559017","38.2502704417444","37.5999039699711","38.430507316834","39.9411224374223","43.3959485963015","43.5466690444079"
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","Tajikistan","TJK","62.6678928823565","","","","","44.3186975241201","","","","","48.9806524286985","47.9782793887082","49.4255706705609","48.1888733415899","50.2884414102222","60.697448208627","61.3543044228267"
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","Tanzania","TZA","22.3542245965632","","","","","21.217076970141","","","","","20.9677688582277","22.284692468208","23.4731031142505","23.7239874374992","23.489643870928","22.3867053900082","22.349307273382"
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","Thailand","THA","23.8417318641302","","","","","24.8222599636068","","","","","22.4884035324155","22.9746551006178","23.9058903800189","25.0787273970158","25.5161794569682","23.2765324681596","23.1725896008027"
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","Timor-Leste","TLS","20.1729698312176","","","","","19.9611445283744","","","","","19.1596943532232","18.6088373841649","18.7760542699275","18.9312529569337","18.768395905292","17.0673304202888","17.0005339007064"
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","Togo","TGO","53.5329056535329","","","","","40.8198669270999","","","","","38.9909885709822","42.4392304768103","42.5216088089432","38.6681646257194","35.8383520383841","80.1497398452574","84.144390343553"
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","Tonga","TON","4.92495834046293","","","","","4.90058529729098","","","","","3.90349819186159","3.86861221768337","3.95443505797725","3.98351290278645","3.97856384183651","4.01689276853315","3.99359392557504"
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","Trinidad and Tobago","TTO","19.2890619099608","","","","","14.8728507606886","","","","","12.2563232213309","12.3063865949986","12.5589810454118","13.4822476164159","13.6733450359821","16.6084081223649","16.812272959883"
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","Tunisia","TUN","35.6271370649813","","","","","28.3856238783839","","","","","35.4779050396201","34.0799914452197","33.5450008945668","35.8735369696627","39.8745892251361","35.8742709234587","35.5656790661662"
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","Turkey","TUR","30.194563780148","","","","","27.6940092507614","","","","","32.5853252898327","32.1457015957366","30.3223593510446","33.0576925821188","34.6772693249201","37.1575260819571","37.2539176415398"
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","Turkmenistan","TKM","35.0293175507252","","","","","20.7297274565177","","","","","29.7967039791763","27.5153269056987","27.8927684700148","28.3954351869737","30.146378017334","37.3068593805626","37.7417613032096"
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","Turks and Caicos Islands","TCA","","","","","","","","","","","","","","","","",""
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","Tuvalu","TUV","","","","","","","","","","","","","","","","",""
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","Uganda","UGA","60.3604262872447","","","","","55.956463546988","","","","","52.9009733213773","58.3613279843555","62.1468282237284","62.3380022342952","61.3864166665328","72.7563734890623","73.5117227542261"
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","Ukraine","UKR","20.0480516378228","","","","","17.5266558129416","","","","","19.2606408315357","18.8773432972269","18.6195519546867","18.5549453709654","18.7722730758838","19.2198892265178","19.2060622900065"
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","United Arab Emirates","ARE","74.1805100969404","","","","","65.8445595726268","","","","","72.8048547667537","71.6963504902863","73.5298881526038","69.4726950357522","65.9241219978433","102.926239919924","105.123735935796"
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","United Kingdom","GBR","12.6873433021504","","","","","12.0438532621206","","","","","11.812790932295","11.8411803091949","12.058128496543","12.0339861486373","12.100091348711","11.5464783414315","11.5202870767364"
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","United States","USA","10.7036271485304","","","","","10.4262078371556","","","","","8.61673301690374","8.64996718400849","8.67735552746799","8.53105024208616","8.50196377691423","9.16629624420346","9.19693412255931"
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","Uruguay","URY","13.3398453106402","","","","","11.9307271831447","","","","","11.8023618075988","11.7051691413392","11.7588682019258","11.5400303295954","11.613131519875","11.5416810592227","11.5233984928013"
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","Uzbekistan","UZB","40.1907540702758","","","","","32.7738037313352","","","","","37.1823823550291","36.0335700277413","37.333428601596","36.9857505229691","38.6322934804428","46.2130101823536","46.6910757033484"
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","Vanuatu","VUT","10.3110863888096","","","","","11.2529771202467","","","","","7.68691954066166","7.44667273917337","7.60697599190934","8.26367780033209","7.98584018585972","8.77308304694664","8.84873526109384"
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","Venezuela, RB","VEN","32.572356036181","","","","","28.8703385137766","","","","","22.7034242898034","24.083353062447","23.7950191909801","24.7650745312984","23.730969450315","26.0665088673337","26.3311809052248"
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","Vietnam","VNM","27.0896637086378","","","","","29.2276314335223","","","","","26.7607125578344","27.2081118739076","27.3929730051108","27.815889017302","27.9761489645099","26.3969441729126","26.2859064138306"
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","Virgin Islands (U.S.)","VIR","20.4848370125783","","","","","17.6682241521627","","","","","15.3375584862883","14.1972012173723","16.6413345282266","16.6839418704675","14.8322491957095","17.6455437073242","18.381432048545"
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","West Bank and Gaza","PSE","17.0750120094643","","","","","16.558474782775","","","","","18.2428346795864","17.8103189900081","17.8603555366526","18.6798595662879","19.6210911754957","18.9622146772247","18.9014149953117"
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","Yemen, Rep.","YEM","54.4871332398559","","","","","43.1275769315412","","","","","50.5285057052089","55.268507330888","62.4389795849901","59.3994496386536","55.6585095652607","71.7069471332712","72.5538647757989"
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","Zambia","ZMB","30.8609302010847","","","","","28.2369913014473","","","","","26.4276421786782","27.229629950131","27.80475151041","27.6507332029129","27.1091141405956","30.4026450372295","30.5502949634744"
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","Zimbabwe","ZWE","25.0884950757689","","","","","25.4231998611775","","","","","22.4804269828587","23.3976660517745","23.3594783885548","23.4483755520863","23.0723270854188","24.3717856591325","24.5130349722839"
"Mortality caused by road traffic injury (per 100,000 people)","SH.STA.TRAF.P5","Afghanistan","AFG","15.5","","","","","15.3","","","","","15.3","","","","","15.2",""
"Mortality caused by road traffic injury (per 100,000 people)","SH.STA.TRAF.P5","Albania","ALB","15.4","","","","","15.9","","","","","15.4","","","","","13.6",""
"Mortality caused by road traffic injury (per 100,000 people)","SH.STA.TRAF.P5","Algeria","DZA","23.5","","","","","24","","","","","24.7","","","","","23.7",""
"Mortality caused by road traffic injury (per 100,000 people)","SH.STA.TRAF.P5","American Samoa","ASM","","","","","","","","","","","","","","","","",""
"Mortality caused by road traffic injury (per 100,000 people)","SH.STA.TRAF.P5","Andorra","AND","","","","","","","","","","","","","","","","",""
"Mortality caused by road traffic injury (per 100,000 people)","SH.STA.TRAF.P5","Angola","AGO","20","","","","","20.5","","","","","20.8","","","","","24.4",""
"Mortality caused by road traffic injury (per 100,000 people)","SH.STA.TRAF.P5","Antigua and Barbuda","ATG","8.9","","","","","5.9","","","","","5.7","","","","","11.5",""
"Mortality caused by road traffic injury (per 100,000 people)","SH.STA.TRAF.P5","Argentina","ARG","11.4","","","","","11.3","","","","","12.9","","","","","14.1",""
"Mortality caused by road traffic injury (per 100,000 people)","SH.STA.TRAF.P5","Armenia","ARM","19.8","","","","","16.6","","","","","16","","","","","15.7",""
"Mortality caused by road traffic injury (per 100,000 people)","SH.STA.TRAF.P5","Aruba","ABW","","","","","","","","","","","","","","","","",""
"Mortality caused by road traffic injury (per 100,000 people)","SH.STA.TRAF.P5","Australia","AUS","9.5","","","","","8.1","","","","","6.4","","","","","5.4",""
"Mortality caused by road traffic injury (per 100,000 people)","SH.STA.TRAF.P5","Austria","AUT","12.2","","","","","9.3","","","","","6.7","","","","","5.7",""
"Mortality caused by road traffic injury (per 100,000 people)","SH.STA.TRAF.P5","Azerbaijan","AZE","8","","","","","13.8","","","","","11","","","","","10",""
"Mortality caused by road traffic injury (per 100,000 people)","SH.STA.TRAF.P5","Bahamas, The","BHS","19.2","","","","","16.9","","","","","10.3","","","","","11",""
"Mortality caused by road traffic injury (per 100,000 people)","SH.STA.TRAF.P5","Bahrain","BHR","12.4","","","","","15.8","","","","","10.8","","","","","7.1",""
"Mortality caused by road traffic injury (per 100,000 people)","SH.STA.TRAF.P5","Bangladesh","BGD","14","","","","","14.3","","","","","14.1","","","","","12.8",""
"Mortality caused by road traffic injury (per 100,000 people)","SH.STA.TRAF.P5","Barbados","BRB","14.2","","","","","8.8","","","","","8.5","","","","","5.5",""
"Mortality caused by road traffic injury (per 100,000 people)","SH.STA.TRAF.P5","Belarus","BLR","19","","","","","24.3","","","","","22.7","","","","","12.6",""
"Mortality caused by road traffic injury (per 100,000 people)","SH.STA.TRAF.P5","Belgium","BEL","14.8","","","","","11","","","","","8.1","","","","","7.1",""
"Mortality caused by road traffic injury (per 100,000 people)","SH.STA.TRAF.P5","Belize","BLZ","30.8","","","","","34.6","","","","","13.5","","","","","21.3",""
"Mortality caused by road traffic injury (per 100,000 people)","SH.STA.TRAF.P5","Benin","BEN","28","","","","","29.2","","","","","29.8","","","","","27.7",""
"Mortality caused by road traffic injury (per 100,000 people)","SH.STA.TRAF.P5","Bermuda","BMU","","","","","","","","","","","","","","","","",""
"Mortality caused by road traffic injury (per 100,000 people)","SH.STA.TRAF.P5","Bhutan","BTN","16.1","","","","","17.3","","","","","17.6","","","","","15",""
"Mortality caused by road traffic injury (per 100,000 people)","SH.STA.TRAF.P5","Bolivia","BOL","14","","","","","15.1","","","","","16","","","","","23.3",""
"Mortality caused by road traffic injury (per 100,000 people)","SH.STA.TRAF.P5","Bosnia and Herzegovina","BIH","18.4","","","","","17.3","","","","","17","","","","","16.6",""
"Mortality caused by road traffic injury (per 100,000 people)","SH.STA.TRAF.P5","Botswana","BWA","24.5","","","","","22.4","","","","","23.8","","","","","21",""
"Mortality caused by road traffic injury (per 100,000 people)","SH.STA.TRAF.P5","Brazil","BRA","15.9","","","","","18.2","","","","","20.8","","","","","22.6",""
"Mortality caused by road traffic injury (per 100,000 people)","SH.STA.TRAF.P5","British Virgin Islands","VGB","","","","","","","","","","","","","","","","",""
"Mortality caused by road traffic injury (per 100,000 people)","SH.STA.TRAF.P5","Brunei Darussalam","BRN","15.6","","","","","14.2","","","","","7.3","","","","","8",""
"Mortality caused by road traffic injury (per 100,000 people)","SH.STA.TRAF.P5","Bulgaria","BGR","12.6","","","","","12.4","","","","","10.5","","","","","7.6",""
"Mortality caused by road traffic injury (per 100,000 people)","SH.STA.TRAF.P5","Burkina Faso","BFA","24.9","","","","","29","","","","","30.4","","","","","30.7",""
"Mortality caused by road traffic injury (per 100,000 people)","SH.STA.TRAF.P5","Burundi","BDI","29.9","","","","","30.9","","","","","31.5","","","","","32.7",""
"Mortality caused by road traffic injury (per 100,000 people)","SH.STA.TRAF.P5","Cabo Verde","CPV","22.8","","","","","21.7","","","","","21.9","","","","","21.3",""
"Mortality caused by road traffic injury (per 100,000 people)","SH.STA.TRAF.P5","Cambodia","KHM","20","","","","","19.2","","","","","20.7","","","","","19",""
"Mortality caused by road traffic injury (per 100,000 people)","SH.STA.TRAF.P5","Cameroon","CMR","27.2","","","","","28.4","","","","","29.2","","","","","28.1",""
"Mortality caused by road traffic injury (per 100,000 people)","SH.STA.TRAF.P5","Canada","CAN","9.4","","","","","9.4","","","","","7.3","","","","","5.8",""
"Mortality caused by road traffic injury (per 100,000 people)","SH.STA.TRAF.P5","Cayman Islands","CYM","","","","","","","","","","","","","","","","",""
"Mortality caused by road traffic injury (per 100,000 people)","SH.STA.TRAF.P5","Central African Republic","CAF","29.7","","","","","29.8","","","","","29.9","","","","","31.8",""
"Mortality caused by road traffic injury (per 100,000 people)","SH.STA.TRAF.P5","Chad","TCD","25.5","","","","","25.1","","","","","28.2","","","","","24.3",""
"Mortality caused by road traffic injury (per 100,000 people)","SH.STA.TRAF.P5","Channel Islands","CHI","","","","","","","","","","","","","","","","",""
"Mortality caused by road traffic injury (per 100,000 people)","SH.STA.TRAF.P5","Chile","CHL","17.3","","","","","17","","","","","12.1","","","","","11.6",""
"Mortality caused by road traffic injury (per 100,000 people)","SH.STA.TRAF.P5","China","CHN","21.7","","","","","21.2","","","","","20.7","","","","","19.4",""
"Mortality caused by road traffic injury (per 100,000 people)","SH.STA.TRAF.P5","Colombia","COL","20.4","","","","","17.6","","","","","17.8","","","","","18.9",""
"Mortality caused by road traffic injury (per 100,000 people)","SH.STA.TRAF.P5","Comoros","COM","27.9","","","","","28.2","","","","","28.5","","","","","28.6",""
"Mortality caused by road traffic injury (per 100,000 people)","SH.STA.TRAF.P5","Congo, Dem. Rep.","COD","28.6","","","","","31.8","","","","","34.4","","","","","33.5",""
